Time,Healthy_Chi,Healthy_q0_Norm,Healthy_q1_Norm,Healthy_q2_Norm,Healthy_q3_Norm,Degenerative_Chi,Degenerative_q0_Norm,Degenerative_q1_Norm,Degenerative_q2_Norm,Degenerative_q3_Norm,REN01_Chi,REN01_q0_Norm,REN01_q1_Norm,REN01_q2_Norm,REN01_q3_Norm
0.00,17.189622,40.146892,5.893473,25.597031,5.756093,3.712931,11.297746,40.141668,11.116749,15.729525,4.964331,10.711424,40.431639,11.020037,15.483205
0.40,17.007236,32.920856,12.544592,29.119530,8.449144,3.813867,11.274908,38.874044,11.313144,13.430567,4.433743,5.674948,42.208981,8.923916,8.093626
0.80,16.397707,24.669055,17.935763,31.005898,10.352051,3.893771,11.064641,37.614866,11.409790,11.337305,5.541213,15.596836,38.854956,6.396786,4.961950
1.20,15.544257,16.033350,21.877369,31.350614,11.419229,3.957818,10.695281,36.370391,11.426273,9.448630,7.909794,24.824951,30.789923,4.498097,10.210524
1.60,14.586719,7.654744,24.428673,30.267571,11.779443,4.010410,10.196177,35.143065,11.379323,7.766374,10.425789,30.761337,19.060902,4.631473,15.427355
2.00,13.661211,3.460642,25.649977,27.881941,11.603433,4.054998,9.595029,33.933094,11.282640,6.299714,11.748730,32.263188,6.372402,6.021241,18.452396
2.40,12.934567,9.777976,25.561091,24.342105,11.038529,4.094135,8.916970,32.739483,11.147179,5.071398,11.092202,29.112308,10.183302,7.228647,18.760220
2.80,12.587947,16.522830,24.159197,19.838358,10.178955,4.129616,8.184529,31.560711,10.981591,4.125012,8.786136,22.167849,20.911860,7.776141,16.445095
3.20,12.758042,22.265918,21.466610,14.627626,9.064475,4.162642,7.418073,30.395126,10.792661,3.522792,6.126854,12.993900,28.246337,7.560233,12.102559
3.60,13.470157,26.607478,17.590782,9.089845,7.703165,4.193964,6.636560,29.241184,10.585696,3.306729,4.602552,4.331961,31.289561,6.614203,6.756446
4.00,14.594201,29.246112,12.775967,4.148966,6.112326,4.223999,5.858616,28.097567,10.364846,3.433607,5.089217,8.587429,29.984892,5.140058,3.278714
4.40,15.851012,29.993960,7.431309,4.414716,4.369664,4.252927,5.104085,26.963245,10.133357,3.783989,7.401829,16.431192,24.717738,3.627516,6.660854
4.80,16.893836,28.838631,2.383472,8.666613,2.695271,4.280752,4.396323,25.837493,9.893773,4.240756,10.350253,21.952667,16.353633,2.986812,10.675624
5.20,17.444643,25.966661,3.890343,12.606651,1.767743,4.307353,3.765459,24.719888,9.648089,4.727571,12.321177,24.119515,6.609415,3.602247,13.133121
5.60,17.397997,21.724083,8.197046,15.600072,2.390191,4.332523,3.251846,23.610296,9.397869,5.202474,12.158848,22.653260,5.962004,4.534724,13.588156
6.00,16.825897,16.538976,11.738821,17.489329,3.517787,4.355990,2.905054,22.508853,9.144337,5.643852,9.913965,18.021333,14.283178,5.140902,12.070488
6.40,15.915602,10.857590,14.291488,18.250960,4.478310,4.377440,2.768119,21.415943,8.888450,6.041078,6.896818,11.281606,20.406654,5.216886,8.978022
6.80,14.907796,5.190134,15.813340,17.933884,5.135856,4.396525,2.847355,20.332175,8.630951,6.389426,4.889504,4.196820,23.239333,4.739921,5.041766
7.20,14.055012,2.321791,16.318965,16.635302,5.479407,4.412885,3.101581,19.258367,8.372414,6.687414,5.103508,5.602645,22.613009,3.824419,2.341419
7.60,13.583246,6.599416,15.851071,14.491329,5.530693,4.426148,3.469028,18.195522,8.113278,6.935383,7.500920,11.725471,18.828217,2.763664,4.854708
8.00,13.646596,11.015025,14.479337,11.675745,5.316576,4.435948,3.896130,17.144806,7.853880,7.134734,10.792829,16.160238,12.607410,2.129421,7.860073
8.40,14.283484,14.589685,12.312212,8.405463,4.862404,4.441929,4.345803,16.107532,7.594477,7.287481,13.127510,18.030342,5.262763,2.399443,9.681949
8.80,15.390078,17.084458,9.510065,4.975273,4.197022,4.443761,4.794369,15.085135,7.335268,7.395996,13.130676,17.125362,4.232190,3.065404,9.999761
9.20,16.727314,18.373172,6.291563,2.171327,3.363827,4.441148,5.226927,14.079152,7.076410,7.462856,10.770488,13.767695,10.516923,3.565219,8.844302
9.60,17.975397,18.424994,2.954818,3.145834,2.435282,4.433843,5.634015,13.091198,6.818038,7.490745,7.456472,8.716412,15.218696,3.690565,6.513816
10.00,18.829884,17.308269,1.151164,5.810234,1.547463,4.421658,6.009571,12.122947,6.560276,7.482391,5.202256,3.279590,17.408920,3.404047,3.560174
10.40,19.099875,15.181350,3.771606,8.140380,1.050553,4.404478,6.349727,11.176105,6.303250,7.440523,5.422496,4.160926,16.923681,2.781046,1.696614
10.80,18.760511,12.268939,6.296102,9.845289,1.352067,4.382276,6.652103,10.252388,6.047098,7.367850,8.097262,8.826989,14.007073,2.022650,3.750678
11.20,17.946022,8.834120,8.254012,10.837491,1.967228,4.355123,6.915368,9.353507,5.791975,7.267034,11.755918,12.172336,9.254451,1.526981,5.970023
11.60,16.904550,5.167222,9.554609,11.103882,2.520971,4.323200,7.138975,8.481140,5.538065,7.140676,14.299844,13.543233,3.711604,1.686977,7.260271
12.00,15.937426,1.788778,10.172297,10.681121,2.915871,4.286803,7.322971,7.636925,5.285579,6.991310,14.220050,12.809791,3.361579,2.176790,7.411762
12.40,15.332060,2.645844,10.122078,9.644546,3.126851,4.246356,7.467880,6.822447,5.034764,6.821390,11.546559,10.227926,8.101678,2.558695,6.466457
12.80,15.295232,5.621512,9.451708,8.101251,3.152666,4.202405,7.574605,6.039241,4.785898,6.633282,7.899980,6.370672,11.571514,2.663436,4.660472
13.20,15.899477,8.170847,8.239272,6.185819,3.003563,4.155625,7.644365,5.288814,4.539293,6.429260,5.530373,2.273452,13.113128,2.460020,2.425093
13.60,17.056552,10.059994,6.592135,4.063083,2.698274,4.106806,7.678627,4.572685,4.295292,6.211504,5.962108,3.331188,12.611687,2.005272,1.279804
14.00,18.528551,11.193599,4.644535,1.992853,2.264680,4.056851,7.679070,3.892490,4.054264,5.982089,9.067710,6.847354,10.277654,1.448336,2.980953
14.40,19.981839,11.541338,2.557784,1.278962,1.742357,4.006759,7.647534,3.250186,3.816603,5.742990,13.108352,9.283477,6.598144,1.087683,4.599944
14.80,21.076368,11.131124,0.685179,2.816680,1.190072,3.957608,7.585988,2.648493,3.582722,5.496074,15.733112,10.197111,2.424654,1.221589,5.484253
15.20,21.563475,10.043318,1.719791,4.412058,0.725571,3.910534,7.496493,2.091905,3.353047,5.243101,15.374291,9.523178,2.829368,1.593758,5.505245
15.60,21.356067,8.400613,3.401104,5.665639,0.641334,3.866709,7.381175,1.589231,3.128011,4.985726,12.238988,7.476395,6.381420,1.876306,4.712680
16.00,20.548902,6.355301,4.770967,6.487286,0.959077,3.827317,7.242197,1.160537,2.908051,4.725493,8.244021,4.502015,8.880546,1.946526,3.297415
16.40,19.390077,4.079630,5.741852,6.848711,1.332636,3.793525,7.081732,0.854655,2.693605,4.463844,5.874505,1.467777,9.895500,1.785181,1.604375
16.80,18.217509,1.794056,6.280213,6.758794,1.634186,3.766455,6.901946,0.758410,2.485102,4.202112,6.678648,2.767348,9.362553,1.438774,1.024612
17.20,17.375765,1.016977,6.384365,6.255670,1.828129,3.747161,6.704976,0.887894,2.282967,3.941531,10.310857,5.385664,7.467195,1.023132,2.396612
17.60,17.130043,2.876371,6.078979,5.401315,1.904345,3.736600,6.492912,1.134031,2.087615,3.683234,14.699852,7.117050,4.605390,0.772696,3.563618
18.00,17.596900,4.603946,5.411551,4.276931,1.864570,3.735606,6.267789,1.411815,1.899452,3.428257,17.261818,7.676989,1.490429,0.902996,4.151908
18.40,18.709561,5.938868,4.449080,2.980380,1.718593,3.744866,6.031570,1.686383,1.718886,3.177543,16.457371,7.044852,2.435797,1.189325,4.086918
18.80,20.228452,6.807530,3.274261,1.638916,1.482960,3.764898,5.786140,1.944394,1.546325,2.931948,12.769762,5.403093,5.069263,1.393495,3.420956
19.20,21.798041,7.182502,1.982396,0.671730,1.180721,3.796032,5.533294,2.180507,1.382197,2.692243,8.461878,3.102638,6.836588,1.432547,2.309102
19.60,23.039005,7.073004,0.704732,1.372489,0.843016,3.838390,5.274739,2.392636,1.226971,2.459122,6.219549,0.923246,7.462847,1.297578,1.032999
20.00,23.651212,6.520676,0.733737,2.420479,0.520920,3.891874,5.012083,2.580192,1.081187,2.233206,7.516371,2.328768,6.923521,1.027891,0.861178
20.40,23.495862,5.594170,1.821359,3.288134,0.351982,3.956152,4.746837,2.743350,0.945509,2.015054,11.693396,4.254909,5.381304,0.715906,1.931496
20.80,22.632020,4.382447,2.747524,3.896589,0.488966,4.030653,4.480411,2.882706,0.820801,1.805167,16.320489,5.461417,3.155964,0.550984,2.763052
21.20,21.299507,2.988487,3.435056,4.218530,0.727562,4.114561,4.214117,2.999104,0.708230,1.604006,18.642287,5.770055,0.877195,0.678534,3.141951
21.60,19.855629,1.532013,3.854535,4.252276,0.937780,4.206819,3.949167,3.093543,0.609401,1.412007,17.255136,5.187604,2.100258,0.898007,3.028085
22.00,18.682723,0.439687,3.998477,4.016158,1.085751,4.306131,3.686678,3.167113,0.526468,1.229607,12.999829,3.868464,4.031586,1.042214,2.472236
22.40,18.089127,1.435318,3.877738,3.545016,1.160746,4.410979,3.427670,3.220966,0.462055,1.057288,8.485778,2.091055,5.261594,1.057763,1.600264
22.80,18.228355,2.578784,3.519073,2.886900,1.161366,4.519636,3.173074,3.256285,0.418655,0.895648,6.512748,0.618544,5.617067,0.942944,0.648190
23.20,19.057683,3.494542,2.962482,2.100319,1.092239,4.630188,2.923733,3.274268,0.397314,0.745535,8.359418,1.958706,5.099475,0.731152,0.740617
23.60,20.347661,4.125736,2.258204,1.255889,0.962743,4.740569,2.680403,3.276117,0.396300,0.608309,12.983533,3.359987,3.849395,0.497391,1.553264
24.00,21.741338,4.449241,1.463825,0.497037,0.786313,4.848587,2.443766,3.263023,0.411213,0.486360,17.630964,4.185503,2.123584,0.396833,2.139117
24.40,22.848834,4.465490,0.647130,0.648754,0.580506,4.951971,2.214428,3.236165,0.436645,0.384135,19.498196,4.325824,0.531558,0.516558,2.373467
24.80,23.351838,4.195512,0.273059,1.319549,0.370625,5.048414,1.992927,3.196696,0.467794,0.309595,17.447525,3.802916,1.795867,0.682762,2.237495
25.20,23.088202,3.677793,0.951927,1.905211,0.216903,5.135617,1.779744,3.145747,0.501107,0.273432,12.722869,2.746204,3.198544,0.782193,1.777954
25.60,22.092548,2.964460,1.567945,2.336611,0.252416,5.211349,1.575311,3.084412,0.534193,0.279751,8.202704,1.377395,4.041304,0.781810,1.096655
26.00,20.582789,2.117302,2.042692,2.591194,0.399856,5.273491,1.380025,3.013754,0.565525,0.317636,6.641558,0.490241,4.216410,0.684235,0.399179
26.40,18.898249,1.206171,2.353056,2.663870,0.541605,5.320099,1.194272,2.934800,0.594166,0.371241,8.985582,1.636356,3.740671,0.517691,0.638710
26.80,17.407464,0.356468,2.490649,2.562770,0.647734,5.349446,1.018464,2.848534,0.619564,0.429869,13.793779,2.645731,2.733549,0.343814,1.243729
27.20,16.410703,0.678258,2.459194,2.307041,0.709101,5.360079,0.853102,2.755901,0.641422,0.487961,18.119483,3.199897,1.400358,0.290149,1.651715
27.60,16.063116,1.423476,2.273026,1.924743,0.723473,5.350855,0.698907,2.657804,0.659610,0.542793,19.312197,3.233422,0.393805,0.397086,1.788529
28.00,16.338497,2.041607,1.955387,1.450811,0.692796,5.320984,0.557101,2.555103,0.674112,0.593040,16.635724,2.775380,1.517568,0.521044,1.648104
28.40,17.042401,2.487712,1.536409,0.926345,0.622219,5.270047,0.430049,2.448614,0.684988,0.638082,11.706430,1.933118,2.527439,0.587786,1.271923
28.80,17.869865,2.743300,1.051035,0.412490,0.519512,5.198021,0.322847,2.339106,0.692351,0.677671,7.481852,0.883900,3.095219,0.577610,0.742076
29.20,18.490945,2.805154,0.538373,0.291967,0.394801,5.105278,0.246608,2.227309,0.696348,0.711770,6.438273,0.446357,3.155354,0.495379,0.248163
29.60,18.639803,2.683259,0.112279,0.705676,0.261580,4.992583,0.218846,2.113904,0.697153,0.740465,9.070624,1.354769,2.732448,0.364763,0.546722
30.00,18.182518,2.398946,0.477130,1.095363,0.146398,4.861069,0.243479,1.999530,0.694956,0.763917,13.627626,2.075209,1.926488,0.236978,0.990761
30.40,17.145791,1.982652,0.882537,1.394396,0.131171,4.712211,0.299043,1.884782,0.689956,0.782338,17.222371,2.439148,0.901369,0.216016,1.271347
30.80,15.700852,1.471444,1.205446,1.585049,0.218067,4.547783,0.365229,1.770213,0.682358,0.795968,17.612347,2.409115,0.365686,0.307268,1.343940
31.20,14.109907,0.907145,1.428304,1.661704,0.311889,4.369805,0.432264,1.656333,0.672370,0.805068,14.545219,2.016252,1.266826,0.398260,1.209778
31.60,12.652131,0.344305,1.543638,1.627375,0.385835,4.180490,0.496048,1.543611,0.660201,0.809911,9.854106,1.348709,1.987943,0.441653,0.904697
32.00,11.550424,0.291071,1.551814,1.492312,0.432548,3.982180,0.554832,1.432475,0.646057,0.810776,6.276997,0.549304,2.363022,0.426190,0.494750
32.40,10.918329,0.768210,1.460138,1.272703,0.449821,3.777281,0.607874,1.323317,0.630139,0.807944,5.766893,0.420694,2.353660,0.357626,0.167031
32.80,10.739699,1.180868,1.281831,0.989330,0.438274,3.568202,0.654905,1.216487,0.612645,0.801697,8.344535,1.111159,1.987313,0.255678,0.462758
33.20,10.883970,1.490553,1.034770,0.666597,0.400650,3.357296,0.695896,1.112302,0.593766,0.792314,12.169993,1.620788,1.346584,0.163373,0.785032
33.60,11.150143,1.682986,0.740119,0.335507,0.341399,3.146804,0.730953,1.011043,0.573688,0.780067,14.737431,1.853330,0.562565,0.163820,0.975282
34.00,11.325461,1.753896,0.421322,0.134026,0.266412,2.938809,0.760259,0.912958,0.552587,0.765226,14.416279,1.788927,0.359417,0.238707,1.006813
34.40,11.241939,1.707484,0.112821,0.365772,0.183214,2.735201,0.784047,0.818267,0.530634,0.748051,11.385835,1.457827,1.045497,0.304462,0.884747
34.80,10.815909,1.555330,0.223244,0.622167,0.104163,2.537642,0.802577,0.727157,0.507991,0.728795,7.426128,0.931777,1.556228,0.331533,0.639425
35.20,10.061685,1.315068,0.487535,0.826403,0.070336,2.347550,0.816130,0.639793,0.484811,0.707702,4.755648,0.327719,1.798002,0.313875,0.324010
35.60,9.078344,1.008860,0.704790,0.964667,0.116980,2.166091,0.824997,0.556318,0.461239,0.685005,4.678120,0.389981,1.749766,0.257326,0.130665
36.00,8.015916,0.661982,0.861589,1.031905,0.178114,1.994174,0.829476,0.476859,0.437412,0.660931,6.867384,0.903243,1.438799,0.178229,0.387076
36.40,7.032048,0.303765,0.951871,1.028690,0.228726,1.832459,0.829868,0.401539,0.413457,0.635691,9.677042,1.260428,0.932602,0.113145,0.618763
36.80,6.251419,0.108738,0.974617,0.960310,0.262924,1.681368,0.826470,0.330494,0.389495,0.609491,11.216715,1.403592,0.336939,0.126290,0.745603
37.20,5.738065,0.401339,0.933302,0.835982,0.278803,1.541108,0.819579,0.263913,0.365635,0.582523,10.493536,1.323794,0.344099,0.185791,0.751882
37.60,5.486219,0.674368,0.835290,0.667998,0.276370,1.411686,0.809488,0.202138,0.341981,0.554968,7.930057,1.048788,0.854006,0.232579,0.644498
38.00,5.429891,0.886488,0.691078,0.470965,0.257029,1.292940,0.796481,0.145945,0.318628,0.526997,4.997849,0.636534,1.212643,0.248494,0.448742
38.40,5.466545,1.026890,0.513427,0.262172,0.223298,1.184559,0.780838,0.097565,0.295662,0.498771,3.259114,0.186177,1.363466,0.230631,0.207572
38.80,5.487170,1.091444,0.316574,0.084799,0.178612,1.086114,0.762828,0.064606,0.273163,0.470437,3.438787,0.351761,1.296332,0.184468,0.115221
39.20,5.404346,1.081460,0.117284,0.180972,0.127283,0.997081,0.742713,0.063542,0.251204,0.442136,5.075358,0.728224,1.036643,0.123521,0.320159
39.60,5.171409,1.003032,0.092475,0.347710,0.075494,0.916865,0.720743,0.089443,0.229850,0.413994,6.903658,0.976062,0.639060,0.079187,0.485261
